,hp_high,taggings,tag_distributions
0,He'd been dreaming of it since the defeat of Voldemort.,"['PRP', 'VB', 'VB', 'VB', 'IN', 'PRP', 'IN', 'DT', 'NN', 'IN', 'NNP']","[('PRP', 2), ('VB', 3), ('IN', 3), ('DT', 1), ('NN', 1), ('NNP', 1)]"
1,"The Veil, that is.","['DT', 'NNP', 'WP', 'VB']","[('DT', 1), ('NNP', 1), ('WP', 1), ('VB', 1)]"
2,The one that Sirius had fallen behind.,"['DT', 'NN', 'WP', 'NNP', 'VB', 'VB', 'IN']","[('DT', 1), ('NN', 1), ('WP', 1), ('NNP', 1), ('VB', 2), ('IN', 1)]"
3,"The last time he'd dreamed about the Department of Mysteries, Sirius had died.","['DT', 'JJ', 'NN', 'PRP', 'VB', 'VB', 'IN', 'DT', 'NNP', 'IN', 'NNP', 'NNP', 'VB', 'VB']","[('DT', 2), ('JJ', 1), ('NN', 1), ('PRP', 1), ('VB', 4), ('IN', 2), ('NNP', 3)]"
4,"The world had also finally woken up to the truth about Voldemort, but the price had been too high for him to be grateful.","['DT', 'NN', 'VB', 'RB', 'RB', 'VB', 'RP', 'TO', 'DT', 'NN', 'IN', 'NNP', 'CC', 'DT', 'NN', 'VB', 'VB', 'RB', 'JJ', 'IN', 'PRP', 'TO', 'VB', 'JJ']","[('DT', 3), ('NN', 3), ('VB', 5), ('RB', 3), ('RP', 1), ('TO', 2), ('IN', 2), ('NNP', 1), ('CC', 1), ('JJ', 2), ('PRP', 1)]"
5,"And once the truth was out, the attacks had gotten worse.","['CC', 'RB', 'DT', 'NN', 'VB', 'IN', 'DT', 'NN', 'VB', 'VB', 'NN']","[('CC', 1), ('RB', 1), ('DT', 2), ('NN', 3), ('VB', 3), ('IN', 1)]"
6,"He wondered, briefly, why he was there.","['PRP', 'VB', 'NN', 'WP', 'PRP', 'VB', 'RB']","[('PRP', 2), ('VB', 2), ('NN', 1), ('WP', 1), ('RB', 1)]"
7,"Ginny was at home, she was pregnant, she needed him.","['NNP', 'VB', 'IN', 'NN', 'PRP', 'VB', 'JJ', 'PRP', 'VB', 'PRP']","[('NNP', 1), ('VB', 3), ('IN', 1), ('NN', 1), ('PRP', 3), ('JJ', 1)]"
8,Yet he could not seem to stay away.,"['CC', 'PRP', 'MD', 'RB', 'VB', 'TO', 'VB', 'RB']","[('CC', 1), ('PRP', 1), ('MD', 1), ('RB', 2), ('VB', 2), ('TO', 1)]"
9,"Voldemort was gone, true.","['NNP', 'VB', 'VB', 'JJ']","[('NNP', 1), ('VB', 2), ('JJ', 1)]"
10,"But then, so were so many other people, good people, who should not have died.","['CC', 'RB', 'RB', 'VB', 'RB', 'JJ', 'JJ', 'NN', 'JJ', 'NN', 'WP', 'MD', 'RB', 'VB', 'VB']","[('CC', 1), ('RB', 4), ('VB', 3), ('JJ', 3), ('NN', 2), ('WP', 1), ('MD', 1)]"
11,He counted the steps until he was standing right in front of where Sirius had fallen through.,"['PRP', 'VB', 'DT', 'NN', 'IN', 'PRP', 'VB', 'VB', 'RB', 'IN', 'NN', 'IN', 'WP', 'NNP', 'VB', 'VB', 'IN']","[('PRP', 2), ('VB', 5), ('DT', 1), ('NN', 2), ('IN', 4), ('RB', 1), ('WP', 1), ('NNP', 1)]"
12,Cedric Sirius Dumbledore Hedwig Moody Dobby Tonks father Remus Colin Creevy Tonks Snape Fred.,"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","[('NNP', 13), ('NN', 1)]"
13,"Hell, even Crabbe didn't deserve to die then.","['NNP', 'RB', 'NNP', 'NN', 'NN', 'NN', 'TO', 'VB', 'RB']","[('NNP', 2), ('RB', 2), ('NN', 3), ('TO', 1), ('VB', 1)]"
14,"There were more, many more, but none of them close to him.","['EX', 'VB', 'JJ', 'JJ', 'JJ', 'CC', 'NN', 'IN', 'PRP', 'VB', 'TO', 'PRP']","[('EX', 1), ('VB', 2), ('JJ', 3), ('CC', 1), ('NN', 1), ('IN', 1), ('PRP', 2), ('TO', 1)]"
15,"They were close to somebody, though.","['PRP', 'VB', 'JJ', 'TO', 'NN', 'IN']","[('PRP', 1), ('VB', 1), ('JJ', 1), ('TO', 1), ('NN', 1), ('IN', 1)]"
16,Maybe that was why he couldn't stay away.,"['RB', 'DT', 'VB', 'WP', 'PRP', 'VB', 'JJ', 'VB', 'RB']","[('RB', 2), ('DT', 1), ('VB', 3), ('WP', 1), ('PRP', 1), ('JJ', 1)]"
17,Why he couldn't look away.,"['WP', 'PRP', 'VB', 'JJ', 'VB', 'RP']","[('WP', 1), ('PRP', 1), ('VB', 2), ('JJ', 1), ('RP', 1)]"
18,"Why, even at that very moment, he couldn't walk away.","['WP', 'RB', 'IN', 'DT', 'RB', 'NN', 'PRP', 'VB', 'JJ', 'NN', 'RB']","[('WP', 1), ('RB', 3), ('IN', 1), ('DT', 1), ('NN', 2), ('PRP', 1), ('VB', 1), ('JJ', 1)]"
19,---.,[],[]
20,Harry awoke with a start.,"['NNP', 'VB', 'IN', 'DT', 'NN']","[('NNP', 1), ('VB', 1), ('IN', 1), ('DT', 1), ('NN', 1)]"
21,"He was lying on a floor, covered by a poor excuse for a blanket, and someone appeared to be attempting to break the door down.","['PRP', 'VB', 'VB', 'IN', 'DT', 'NN', 'VB', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', 'CC', 'NN', 'VB', 'TO', 'VB', 'VB', 'TO', 'VB', 'DT', 'NN', 'RP']","[('PRP', 1), ('VB', 7), ('IN', 3), ('DT', 4), ('NN', 5), ('JJ', 1), ('CC', 1), ('TO', 2), ('RP', 1)]"
22,"""Where's the cannon,"" Dudley asked.","['WP', 'PDT', 'DT', 'NN', 'NNP', 'VB']","[('WP', 1), ('PDT', 1), ('DT', 1), ('NN', 1), ('NNP', 1), ('VB', 1)]"
23,"Dudley, Where had the Veil sent him?","['NNP', 'NNP', 'VB', 'DT', 'NNP', 'VB', 'PRP']","[('NNP', 3), ('VB', 2), ('DT', 1), ('PRP', 1)]"
24,Could this be when Hagrid first told him about Hogwarts?,"['MD', 'DT', 'VB', 'WP', 'NNP', 'RB', 'VB', 'PRP', 'IN', 'NN']","[('MD', 1), ('DT', 1), ('VB', 2), ('WP', 1), ('NNP', 1), ('RB', 1), ('PRP', 1), ('IN', 1), ('NN', 1)]"
25,"It must be, because he couldn't recall any other time where he and Dudley had been sleeping in what appeared to be a shack.","['PRP', 'MD', 'VB', 'IN', 'PRP', 'VB', 'JJ', 'NN', 'DT', 'JJ', 'NN', 'WP', 'PRP', 'CC', 'NNP', 'VB', 'VB', 'VB', 'IN', 'WP', 'VB', 'TO', 'VB', 'DT', 'NN']","[('PRP', 3), ('MD', 1), ('VB', 7), ('IN', 2), ('JJ', 2), ('NN', 3), ('DT', 2), ('WP', 2), ('CC', 1), ('NNP', 1), ('TO', 1)]"
26,"There was a crash behind them and Uncle Vernon came skidding into the room, holding a rifle.","['EX', 'VB', 'DT', 'NN', 'IN', 'PRP', 'CC', 'NNP', 'NNP', 'VB', 'VB', 'IN', 'DT', 'NN', 'VB', 'DT', 'NN']","[('EX', 1), ('VB', 4), ('DT', 3), ('NN', 3), ('IN', 2), ('PRP', 1), ('CC', 1), ('NNP', 2)]"
27,Harry snorted.,"['NNP', 'VB']","[('NNP', 1), ('VB', 1)]"
28,Like that would do any good against HAGRID.,"['IN', 'DT', 'MD', 'VB', 'DT', 'JJ', 'IN', 'NNP']","[('IN', 2), ('DT', 2), ('MD', 1), ('VB', 1), ('JJ', 1), ('NNP', 1)]"
29,"His uncle didn't seem to know that, though, and shouted ""Who's there, I warn you-I'm armed!""","['PRP$', 'NN', 'NN', 'NN', 'VB', 'TO', 'VB', 'DT', 'IN', 'CC', 'VB', 'NNP', 'VB', 'EX', 'PRP', 'VB', 'PRP', 'PRP', 'VB', 'VB']","[('PRP$', 1), ('NN', 3), ('VB', 7), ('TO', 1), ('DT', 1), ('IN', 1), ('CC', 1), ('NNP', 1), ('EX', 1), ('PRP', 3)]"
30,"Although it did occur to Harry that when people were trying to break in, it can generally be assumed that they are probably armed as well.","['IN', 'PRP', 'VB', 'VB', 'TO', 'NNP', 'IN', 'WP', 'NN', 'VB', 'VB', 'TO', 'VB', 'IN', 'PRP', 'MD', 'RB', 'VB', 'VB', 'IN', 'PRP', 'VB', 'RB', 'VB', 'RB', 'RB']","[('IN', 4), ('PRP', 3), ('VB', 9), ('TO', 2), ('NNP', 1), ('WP', 1), ('NN', 1), ('MD', 1), ('RB', 4)]"
31,And as if they didn't know that a wizard had come for Harry.,"['CC', 'IN', 'IN', 'PRP', 'VB', 'NN', 'VB', 'IN', 'DT', 'NN', 'VB', 'VB', 'IN', 'NNP']","[('CC', 1), ('IN', 4), ('PRP', 1), ('VB', 4), ('NN', 2), ('DT', 1), ('NNP', 1)]"
32,"Who else COULD even get across in this weather, not to mention who else would even bother?","['WP', 'RB', 'NNP', 'RB', 'VB', 'IN', 'IN', 'DT', 'NN', 'RB', 'TO', 'VB', 'WP', 'RB', 'MD', 'RB', 'VB']","[('WP', 2), ('RB', 5), ('NNP', 1), ('VB', 3), ('IN', 2), ('DT', 1), ('NN', 1), ('TO', 1), ('MD', 1)]"
33,SMASH The door flew clean off its hinges and landed on the floor with a thunderous crash.,"['NNP', 'DT', 'NN', 'VB', 'JJ', 'IN', 'PRP$', 'NN', 'CC', 'VB', 'IN', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NN']","[('NNP', 1), ('DT', 3), ('NN', 4), ('VB', 2), ('JJ', 2), ('IN', 3), ('PRP$', 1), ('CC', 1)]"
34,"Hagrid stood in the doorway, looking very impressive.","['NNP', 'VB', 'IN', 'DT', 'NN', 'VB', 'RB', 'JJ']","[('NNP', 1), ('VB', 2), ('IN', 1), ('DT', 1), ('NN', 1), ('RB', 1), ('JJ', 1)]"
