,hp_low,taggings,tag_distributions
0,“What the hell just happened?” Bella hissed at me from across the table.,"['WP', 'DT', 'NN', 'RB', 'VB', 'NNP', 'VB', 'IN', 'PRP', 'IN', 'IN', 'DT', 'NN']","[('WP', 1), ('DT', 2), ('NN', 2), ('RB', 1), ('VB', 2), ('NNP', 1), ('IN', 3), ('PRP', 1)]"
1,I looked down the Slytherin table.,"['PRP', 'VB', 'RP', 'DT', 'NNP', 'NN']","[('PRP', 1), ('VB', 1), ('RP', 1), ('DT', 1), ('NNP', 1), ('NN', 1)]"
2,"Lucius Malfoy, my fellow prefect, was wearing an expression on his face that was a cross between sympathy and amusement.","['NNP', 'NNP', 'PRP$', 'JJ', 'NN', 'VB', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'WP', 'VB', 'DT', 'NN', 'IN', 'NN', 'CC', 'NN']","[('NNP', 2), ('PRP$', 2), ('JJ', 1), ('NN', 6), ('VB', 3), ('DT', 2), ('IN', 2), ('WP', 1), ('CC', 1)]"
3,Narcissa looked as if she was about to vomit.,"['RB', 'VB', 'IN', 'IN', 'PRP', 'VB', 'RB', 'TO', 'VB']","[('RB', 2), ('VB', 3), ('IN', 2), ('PRP', 1), ('TO', 1)]"
4,"“The hat put him into Gryffindor,” I replied in a matter of fact voice.","['DT', 'NN', 'VB', 'PRP', 'IN', 'NNP', 'PRP', 'VB', 'IN', 'DT', 'NN', 'IN', 'NN', 'NN']","[('DT', 2), ('NN', 4), ('VB', 2), ('PRP', 2), ('IN', 3), ('NNP', 1)]"
5,“I know he was sorted into Gryffindor I’m not blind Andromeda.”,"['PRP', 'VB', 'PRP', 'VB', 'VB', 'IN', 'NNP', 'PRP', 'VB', 'RB', 'IN', 'NNP']","[('PRP', 3), ('VB', 4), ('IN', 2), ('NNP', 2), ('RB', 1)]"
6,"“Well, you did ask...”","['RB', 'PRP', 'VB', 'VB']","[('RB', 1), ('PRP', 1), ('VB', 2)]"
7,"I know just how irritating I was being, and I stand by it.","['PRP', 'VB', 'RB', 'WP', 'JJ', 'PRP', 'VB', 'VB', 'CC', 'PRP', 'VB', 'IN', 'PRP']","[('PRP', 4), ('VB', 4), ('RB', 1), ('WP', 1), ('JJ', 1), ('CC', 1), ('IN', 1)]"
8,I was not about to let a Bellatrix Black temper tantrum ruin the glow of my first night as a prefect.,"['PRP', 'VB', 'RB', 'IN', 'TO', 'VB', 'DT', 'NNP', 'NNP', 'IN', 'NN', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'JJ', 'NN', 'IN', 'DT', 'NN']","[('PRP', 1), ('VB', 3), ('RB', 1), ('IN', 4), ('TO', 1), ('DT', 3), ('NNP', 2), ('NN', 4), ('PRP$', 1), ('JJ', 1)]"
9,"She had obviously, and predictably, taken the result of Sirius’ sorting as a personal offense.","['PRP', 'VB', 'RB', 'CC', 'RB', 'VB', 'DT', 'NN', 'IN', 'NNP', 'VB', 'IN', 'DT', 'JJ', 'NN']","[('PRP', 1), ('VB', 3), ('RB', 2), ('CC', 1), ('DT', 2), ('NN', 2), ('IN', 2), ('NNP', 1), ('JJ', 1)]"
10,Bella continued to mutter angrily and slightly threateningly under her breath until Professor McGonagall shot her a filthy look.,"['NNP', 'VB', 'TO', 'VB', 'RB', 'CC', 'RB', 'RB', 'IN', 'PRP$', 'NN', 'IN', 'NNP', 'NNP', 'VB', 'PRP$', 'DT', 'JJ', 'NN']","[('NNP', 3), ('VB', 3), ('TO', 1), ('RB', 3), ('CC', 1), ('IN', 2), ('PRP$', 2), ('NN', 2), ('DT', 1), ('JJ', 1)]"
11,Professor McGonagall was no fan of Bella’s.,"['NNP', 'NNP', 'VB', 'DT', 'NN', 'IN', 'NNP', 'NN']","[('NNP', 3), ('VB', 1), ('DT', 1), ('NN', 2), ('IN', 1)]"
12,"Bellatrix completely ignored McGonagall’s glare, so I, seeing no other option, kicked her under the table.","['NNP', 'RB', 'VB', 'NNP', 'NN', 'VB', 'RB', 'PRP', 'VB', 'DT', 'JJ', 'NN', 'VB', 'PRP', 'IN', 'DT', 'NN']","[('NNP', 2), ('RB', 2), ('VB', 4), ('NN', 3), ('PRP', 2), ('DT', 2), ('JJ', 1), ('IN', 1)]"
13,That shut her up.,"['DT', 'VB', 'PRP', 'RP']","[('DT', 1), ('VB', 1), ('PRP', 1), ('RP', 1)]"
14,I didn’t really pay attention to the rest of the Sorting.,"['PRP', 'VB', 'JJ', 'RB', 'VB', 'NN', 'TO', 'DT', 'NN', 'IN', 'DT', 'VB']","[('PRP', 1), ('VB', 3), ('JJ', 1), ('RB', 1), ('NN', 2), ('TO', 1), ('DT', 2), ('IN', 1)]"
15,I had no reason to now that Sirius had been sorted.,"['PRP', 'VB', 'DT', 'NN', 'TO', 'RB', 'IN', 'NNP', 'VB', 'VB', 'VB']","[('PRP', 1), ('VB', 4), ('DT', 1), ('NN', 1), ('TO', 1), ('RB', 1), ('IN', 1), ('NNP', 1)]"
16,"Of course, I greeted every new Slytherin as befitted a prefect, but I didn’t pay attention in between new Slytherins.","['IN', 'NN', 'PRP', 'VB', 'DT', 'JJ', 'NNP', 'IN', 'VB', 'DT', 'NN', 'CC', 'PRP', 'VB', 'JJ', 'NN', 'NN', 'IN', 'IN', 'JJ', 'NN']","[('IN', 4), ('NN', 5), ('PRP', 2), ('VB', 3), ('DT', 2), ('JJ', 3), ('NNP', 1), ('CC', 1)]"
17,Most of my concentration that evening was on keeping Bella from marching over to the Gryffindor table and making a scene.,"['JJ', 'IN', 'PRP$', 'NN', 'IN', 'VB', 'VB', 'IN', 'VB', 'NNP', 'IN', 'VB', 'IN', 'TO', 'DT', 'NNP', 'NN', 'CC', 'VB', 'DT', 'NN']","[('JJ', 1), ('IN', 5), ('PRP$', 1), ('NN', 3), ('VB', 5), ('NNP', 2), ('TO', 1), ('DT', 2), ('CC', 1)]"
18,"I was mildly successful, and Bella agreed to hold off on her “discussion” with Sirius until the following morning.","['PRP', 'VB', 'RB', 'JJ', 'CC', 'NNP', 'VB', 'TO', 'VB', 'RP', 'IN', 'PRP$', 'NN', 'IN', 'NNP', 'IN', 'DT', 'JJ', 'NN']","[('PRP', 1), ('VB', 3), ('RB', 1), ('JJ', 2), ('CC', 1), ('NNP', 2), ('TO', 1), ('RP', 1), ('IN', 3), ('PRP$', 1), ('NN', 2), ('DT', 1)]"
19,That “discussion” was the reason for my presence outside of Gryffindor Tower on the first morning of the new term.,"['DT', 'NN', 'VB', 'DT', 'NN', 'IN', 'PRP$', 'NN', 'IN', 'IN', 'NNP', 'NNP', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN']","[('DT', 4), ('NN', 5), ('VB', 1), ('IN', 5), ('PRP$', 1), ('NNP', 2), ('JJ', 2)]"
20,I thought it my duty to warn Sirius of the explosion making its way up from the dungeons.,"['PRP', 'VB', 'PRP', 'PRP$', 'NN', 'TO', 'VB', 'NNP', 'IN', 'DT', 'NN', 'VB', 'PRP$', 'NN', 'IN', 'IN', 'DT', 'NN']","[('PRP', 2), ('VB', 3), ('PRP$', 2), ('NN', 4), ('TO', 1), ('NNP', 1), ('IN', 3), ('DT', 2)]"
21,He emerged from his common room about ten minutes after my arrival.,"['PRP', 'VB', 'IN', 'PRP$', 'JJ', 'NN', 'IN', 'NN', 'NN', 'IN', 'PRP$', 'NN']","[('PRP', 1), ('VB', 1), ('IN', 3), ('PRP$', 2), ('JJ', 1), ('NN', 4)]"
22,"He was flanked by three boys, none of whom I paid much attention to.","['PRP', 'VB', 'VB', 'IN', 'CD', 'NN', 'NN', 'IN', 'WP', 'PRP', 'VB', 'RB', 'NN', 'TO']","[('PRP', 2), ('VB', 3), ('IN', 2), ('CD', 1), ('NN', 3), ('WP', 1), ('RB', 1), ('TO', 1)]"
23,"I would like to say that my first encounter with Remus Lupin stands out clearly in my mind, but really, all it left was a vague impression of brown hair and an honest smile.","['PRP', 'MD', 'VB', 'TO', 'VB', 'IN', 'PRP$', 'JJ', 'NN', 'IN', 'NNP', 'NNP', 'VB', 'RP', 'RB', 'IN', 'PRP$', 'NN', 'CC', 'RB', 'DT', 'PRP', 'VB', 'VB', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NN', 'CC', 'DT', 'NN', 'NN']","[('PRP', 2), ('MD', 1), ('VB', 5), ('TO', 1), ('IN', 4), ('PRP$', 2), ('JJ', 3), ('NN', 6), ('NNP', 2), ('RP', 1), ('RB', 2), ('CC', 2), ('DT', 3)]"
24,"I warned Sirius of Bella’s approach, and Sirius managed to avoid her until late in the afternoon.","['PRP', 'VB', 'NNP', 'IN', 'NNP', 'FW', 'NN', 'CC', 'NNP', 'VB', 'TO', 'VB', 'PRP$', 'IN', 'JJ', 'IN', 'DT', 'NN']","[('PRP', 1), ('VB', 3), ('NNP', 3), ('IN', 3), ('FW', 1), ('NN', 2), ('CC', 1), ('TO', 1), ('PRP$', 1), ('JJ', 1), ('DT', 1)]"
25,The resulting argument wasn’t pretty; their arguments never were.,"['DT', 'VB', 'NN', 'NN', 'NN', 'VB', 'PRP$', 'NN', 'RB', 'VB']","[('DT', 1), ('VB', 3), ('NN', 4), ('PRP$', 1), ('RB', 1)]"
26,The argument progressed along predictable lines: Sirius was disgracing the family and Bellatrix was blaming him for something he claimed to not have much control over,"['DT', 'NN', 'VB', 'RB', 'JJ', 'NN', 'NNP', 'VB', 'VB', 'DT', 'NN', 'CC', 'NNP', 'VB', 'VB', 'PRP', 'IN', 'NN', 'PRP', 'VB', 'TO', 'RB', 'VB', 'JJ', 'NN', 'IN']","[('DT', 2), ('NN', 5), ('VB', 7), ('RB', 2), ('JJ', 2), ('NNP', 2), ('CC', 1), ('PRP', 2), ('IN', 2), ('TO', 1)]"
27,"(I always suspected that he had nudged the hat away from putting him in Slytherin, but I never discussed it with him).","['PRP', 'RB', 'VB', 'IN', 'PRP', 'VB', 'VB', 'DT', 'WP', 'RB', 'IN', 'VB', 'PRP', 'IN', 'NNP', 'CC', 'PRP', 'RB', 'VB', 'PRP', 'IN', 'PRP']","[('PRP', 6), ('RB', 3), ('VB', 5), ('IN', 4), ('DT', 1), ('WP', 1), ('NNP', 1), ('CC', 1)]"
