,hero_high,preprocess_txt,total_len,pos_count,neg_count,sentiment
0,"Even after an hour-long shower, Izuku still felt the weight of the past 24 hours clinging to his skin.","['even', 'hour', 'long', 'shower', 'izuku', 'still', 'felt', 'weight', 'past', 'hour', 'clinging', 'skin']",12,0,0,0.0
1,"All Might looked down on him from every wall in his room, judgmental eyes staring straight into his soul.","['might', 'looked', 'every', 'wall', 'room', 'judgmental', 'eye', 'staring', 'straight', 'soul']",10,0,0,0.0
2,You can’t be a hero.,['hero'],1,1,0,1.0
3,Not without a quirk.,"['without', 'quirk']",2,0,0,0.0
4,Be realistic.,['realistic'],1,1,0,1.0
5,Izuku went to bed crying for his broken dream.,"['izuku', 'went', 'bed', 'cry', 'broken', 'dream']",6,0,2,-0.33
6,His room looked empty without all his All Might merch.,"['room', 'looked', 'empty', 'without', 'might', 'merch']",6,0,0,0.0
7,"It wasn’t that Izuku hated All Might now, it’s just that every time he looked at the smiling hero, all he could think was you can’t be a hero.","['izuku', 'hated', 'might', 'every', 'time', 'looked', 'smiling', 'hero', 'could', 'think', 'hero']",11,3,1,0.18
8,Just because Izuku was finally coming to terms with that fact didn’t mean he needed it playing on a loop in his head every time he’s at home.,"['izuku', 'finally', 'coming', 'term', 'fact', 'mean', 'needed', 'playing', 'loop', 'head', 'every', 'time', 'home']",13,0,0,0.0
9,"He still had a few posters up from some of his other favorite heroes, but he’d changed his sheets to a plain black set that he’d found collecting dust in the linen closet paired with a gold pillowcase.","['still', 'poster', 'favorite', 'hero', 'changed', 'sheet', 'plain', 'black', 'set', 'found', 'collecting', 'dust', 'linen', 'closet', 'paired', 'gold', 'pillowcase']",17,3,1,0.12
10,"It wasn’t official merchandise, but it reminded Izuku of Eraserhead anyway.","['official', 'merchandise', 'reminded', 'izuku', 'eraserhead', 'anyway']",6,0,0,0.0
11,"It had taken a few days for him to gather the courage, but Izuku had finally sat down and updated his hero analysis notebooks, leaving out the parts on All Might’s secret weakness.","['taken', 'day', 'gather', 'courage', 'izuku', 'finally', 'sat', 'updated', 'hero', 'analysis', 'notebook', 'leaving', 'part', 'might', 'secret', 'weakness']",16,2,1,0.06
12,It was… oddly comforting.,"['oddly', 'comforting']",2,1,1,0.0
13,"He had thought it would be painful and it was in some ways, but it was mostly familiar, like his analysis was the only part of himself that hadn’t shattered alongside his hero dream.","['thought', 'would', 'painful', 'way', 'mostly', 'familiar', 'like', 'analysis', 'part', 'shattered', 'alongside', 'hero', 'dream']",13,2,1,0.08
14,"That was why he found himself, during his latest bout with insomnia, browsing a lesser known hero forum.","['found', 'latest', 'bout', 'insomnia', 'browsing', 'lesser', 'known', 'hero', 'forum']",9,1,0,0.11
15,"He’d found it several years earlier and quickly figured out that a lot of underground heroes used it to communicate with each other, since it offered encrypted chats and accounts were only known by random numbers, rather than usernames.","['found', 'several', 'year', 'earlier', 'quickly', 'figured', 'lot', 'underground', 'hero', 'used', 'communicate', 'since', 'offered', 'encrypted', 'chat', 'account', 'known', 'random', 'number', 'rather', 'usernames']",21,1,0,0.05
16,"He’d spent about two weeks back then figuring out which accounts corresponded to which heroes, but he had never posted himself.","['spent', 'two', 'week', 'back', 'figuring', 'account', 'corresponded', 'hero', 'never', 'posted']",10,1,0,0.1
17,"As Izuku drowsily scrolled through old posts, a crazy idea occurred to him.","['izuku', 'drowsily', 'scrolled', 'old', 'post', 'crazy', 'idea', 'occurred']",8,0,1,-0.12
18,"If he couldn’t be a hero himself, why couldn’t he help the real heroes be better?","['hero', 'help', 'real', 'hero', 'better']",5,3,0,0.6
19,"In the morning, he’d blame it on sleep deprivation and then promptly die of mortification, but that didn’t change the fact that, at two o’clock in the morning, Izuku Midoria sent ten underground heroes in depth analyses of their quirks and fighting styles.","['morning', 'blame', 'sleep', 'deprivation', 'promptly', 'die', 'mortification', 'change', 'fact', 'two', 'clock', 'morning', 'izuku', 'midoria', 'sent', 'ten', 'underground', 'hero', 'depth', 'analysis', 'quirk', 'fighting', 'style']",23,2,3,-0.04
20,New Message.,"['new', 'message']",2,0,0,0.0
21,12579: (Eraserhead).,['eraserhead'],1,0,0,0.0
22,Thank you for the analysis.,"['thank', 'analysis']",2,1,0,0.5
23,"It was eye opening to see my strengths and weaknesses from an outside perspective, not to mention the ideas for improvement.","['eye', 'opening', 'see', 'strength', 'weakness', 'outside', 'perspective', 'mention', 'idea', 'improvement']",10,1,1,0.0
24,Izuku was hyperventilating.,"['izuku', 'hyperventilating']",2,0,0,0.0
25,"Eraserhead, the Eraserhead , had thanked him for his analysis.","['eraserhead', 'eraserhead', 'thanked', 'analysis']",4,0,0,0.0
26,The Eraserhead!,['eraserhead'],1,0,0,0.0
27,It almost made up for the Kachaan and his lackeys beating him up again during lunch.,"['almost', 'made', 'kachaan', 'lackey', 'beating', 'lunch']",6,0,1,-0.17
28,"Not quite, because the bullying had gotten worse since the sludge villain incident, but it came close!","['quite', 'bullying', 'gotten', 'worse', 'since', 'sludge', 'villain', 'incident', 'came', 'close']",10,0,2,-0.2
29,"Several other heroes had also sent him messages thanking him, while others, who had apparently heard of his analyses from their friends, had asked him to send them theirs.","['several', 'hero', 'also', 'sent', 'message', 'thanking', 'others', 'apparently', 'heard', 'analysis', 'friend', 'asked', 'send']",13,1,0,0.08
30,He was just finishing up verifying the identities of those who had requested analyses (to make sure he wasn’t accidentally helping any villains) when he saw a blinking notification in the bottom left corner of his screen.,"['finishing', 'verifying', 'identity', 'requested', 'analysis', 'make', 'sure', 'accidentally', 'helping', 'villain', 'saw', 'blinking', 'notification', 'bottom', 'left', 'corner', 'screen']",17,1,0,0.06
31,New Message.,"['new', 'message']",2,0,0,0.0
32,12579: (Eraserhead).,['eraserhead'],1,0,0,0.0
33,Do you analyze villains?,"['analyze', 'villain']",2,0,0,0.0
